textbox3,Month,Year,Date,CropNameUrdu,textbox2
Yazman    View Graph,September - 2007,September,24-September-2018,Masoor Whole(local),NA
Yazman    View Graph,September - 2007,September,24-September-2018,Masoor Pulse (Imported),NA
Yazman    View Graph,September - 2007,September,24-September-2018,Radish,NA
Yazman    View Graph,September - 2007,September,24-September-2018,Paddy (IRRI),NA
Yazman    View Graph,September - 2007,September,24-September-2018,Paddy Basmati,NA
Yazman    View Graph,September - 2007,September,24-September-2018,Moong,NA
Yazman    View Graph,September - 2007,September,24-September-2018,Mongray,NA
Yazman    View Graph,September - 2007,September,24-September-2018,Peas,NA
Yazman    View Graph,September - 2007,September,24-September-2018,Fenugreek(میتھی),NA
Yazman    View Graph,September - 2007,September,24-September-2018,Pear,NA
Yazman    View Graph,September - 2007,September,24-September-2018,Tomato,"8,800.00"
Yazman    View Graph,September - 2007,September,24-September-2018,Tindian,NA
Yazman    View Graph,September - 2007,September,24-September-2018,Tinda Desi,"8,300.00"
Yazman    View Graph,September - 2007,September,24-September-2018,Green Chilli,"6,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Dates(Irani),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Banana(DOZEN),48.00
Yazman    View Graph,September - 2007,September,25-September-2018,Ginger (Thai),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Ginger(China),"20,550.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Cocoyam(اروی),"3,450.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Strawberry,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Plum,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Potato Store,"1,600.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Potato Sugar free,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Potato Fresh,"5,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Mango (Malda),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mango(Anwer Ratol),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mango(Chounsa),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mango(Desahri),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mango Desi,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mango(Sindhri),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mango Saharni,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Guava,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Pomegranate(Badana),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Pomegranate Desi,"10,550.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Pomegranate(Kandhari),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Grapes (Other),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Grapes Sundekhani,"24,800.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Grapes Gola,"10,300.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Peach,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Peach Special,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Banola,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Lady Finger/Okra (بھنڈی توری),"7,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Wheat Straw,NA
Yazman    View Graph,September - 2007,September,25-September-2018,jujube(بیر),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Gram Flour (بیسن),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Brinjal,"2,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Spinach,"1,200.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Papaya(پپیتا),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Cauliflower,"7,300.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Seed Cotton(Phutti),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Onion,"2,800.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Watermelon,"2,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,RapeSeed (Torya),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Persimmon(جاپانی پھل),"9,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Jaman,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Rice (IRRI),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Rice Basmati (385),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Rice Basmati Super (Old),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Rice Basmati Super (New),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Sorghum,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Suger Beet(چقندر),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Gram White(Imported),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Gram White(local),NA
Yazman    View Graph,September - 2007,September,25-September-2018,green chickpeas(چھولیا),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Sugar,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Pumpkin,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Melon,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Apricot Yellow,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Apricot White,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Gram Pulse,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mash Pulse(Imported) washed,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mash Pulse(local),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Masoor Pulse(local),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Moong Pulse,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Coriander (دھنیا),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mustard Greens(ساگ سرسوں),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Green Onion,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Red Chilli Whole (Dry),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Apple (Ammre),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Apple Kala Kullu (Madani),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Apple Kala Kullu (Pahari),"13,800.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Apple (Gatcha),"13,550.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Apple (Golden),"6,550.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Sweet Potato(شکر قندی),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Turnip,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Capsicum (شملہ مرچ),"9,800.00"
Yazman    View Graph,September - 2007,September,25-September-2018,feutral early(100 Pcs) فروٹر,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Gram Black,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Bottle Gourd (کدو),"2,550.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Bitter Gourd (کریلا),"7,300.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Dates (Aseel),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Banola Cake,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Cucumber (Kheera),"3,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Kinnow (100Pcs),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Carrot,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Carrot China,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Sweet Musk Melon,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Sweet Musk Melon (Shireen),"10,550.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Grapefruit(100Pcs),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Wheat,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Cabbage,"6,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Jaggery (گڑ),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Zucchini (گھیا توری),"3,550.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Loquat,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Garlic (China),"7,300.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Garlic (Local),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Lemon (Other),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Lemon (China),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Lemon (Desi),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mash,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Orange(100Pcs),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Musambi(100Pcs),"5,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Masoor Whole (Imported),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Masoor Whole(local),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Masoor Pulse (Imported),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Radish,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Paddy (IRRI),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Paddy Basmati,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Moong,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Mongray,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Peas,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Fenugreek(میتھی),NA
Yazman    View Graph,September - 2007,September,25-September-2018,Pear,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Tomato,"9,050.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Tindian,NA
Yazman    View Graph,September - 2007,September,25-September-2018,Tinda Desi,"6,300.00"
Yazman    View Graph,September - 2007,September,25-September-2018,Green Chilli,"5,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Dates(Irani),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Banana(DOZEN),48.00
Yazman    View Graph,September - 2007,September,26-September-2018,Ginger (Thai),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Ginger(China),"20,800.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Cocoyam(اروی),"3,450.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Strawberry,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Plum,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Potato Store,"1,600.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Potato Sugar free,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Potato Fresh,"5,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Mango (Malda),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mango(Anwer Ratol),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mango(Chounsa),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mango(Desahri),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mango Desi,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mango(Sindhri),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mango Saharni,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Guava,"5,300.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Pomegranate(Badana),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Pomegranate Desi,"15,800.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Pomegranate(Kandhari),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Grapes (Other),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Grapes Sundekhani,"25,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Grapes Gola,"10,800.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Peach,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Peach Special,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Banola,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Lady Finger/Okra (بھنڈی توری),"7,300.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Wheat Straw,NA
Yazman    View Graph,September - 2007,September,26-September-2018,jujube(بیر),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Gram Flour (بیسن),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Brinjal,"2,550.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Spinach,"1,200.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Papaya(پپیتا),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Cauliflower,"7,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Seed Cotton(Phutti),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Onion,"2,800.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Watermelon,"2,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,RapeSeed (Torya),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Persimmon(جاپانی پھل),"8,800.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Jaman,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Rice (IRRI),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Rice Basmati (385),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Rice Basmati Super (Old),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Rice Basmati Super (New),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Sorghum,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Suger Beet(چقندر),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Gram White(Imported),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Gram White(local),NA
Yazman    View Graph,September - 2007,September,26-September-2018,green chickpeas(چھولیا),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Sugar,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Pumpkin,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Melon,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Apricot Yellow,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Apricot White,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Gram Pulse,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mash Pulse(Imported) washed,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mash Pulse(local),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Masoor Pulse(local),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Moong Pulse,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Coriander (دھنیا),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mustard Greens(ساگ سرسوں),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Green Onion,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Red Chilli Whole (Dry),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Apple (Ammre),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Apple Kala Kullu (Madani),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Apple Kala Kullu (Pahari),"14,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Apple (Gatcha),"13,550.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Apple (Golden),"6,300.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Sweet Potato(شکر قندی),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Turnip,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Capsicum (شملہ مرچ),"9,800.00"
Yazman    View Graph,September - 2007,September,26-September-2018,feutral early(100 Pcs) فروٹر,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Gram Black,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Bottle Gourd (کدو),"3,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Bitter Gourd (کریلا),"8,300.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Dates (Aseel),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Banola Cake,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Cucumber (Kheera),"3,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Kinnow (100Pcs),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Carrot,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Carrot China,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Sweet Musk Melon,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Sweet Musk Melon (Shireen),"10,300.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Grapefruit(100Pcs),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Wheat,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Cabbage,"6,050.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Jaggery (گڑ),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Zucchini (گھیا توری),"3,550.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Loquat,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Garlic (China),"7,300.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Garlic (Local),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Lemon (Other),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Lemon (China),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Lemon (Desi),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mash,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Orange(100Pcs),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Musambi(100Pcs),"5,550.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Masoor Whole (Imported),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Masoor Whole(local),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Masoor Pulse (Imported),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Radish,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Paddy (IRRI),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Paddy Basmati,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Moong,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Mongray,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Peas,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Fenugreek(میتھی),NA
Yazman    View Graph,September - 2007,September,26-September-2018,Pear,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Tomato,"8,300.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Tindian,NA
Yazman    View Graph,September - 2007,September,26-September-2018,Tinda Desi,"6,300.00"
Yazman    View Graph,September - 2007,September,26-September-2018,Green Chilli,"5,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Dates(Irani),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Banana(DOZEN),48.00
Yazman    View Graph,September - 2007,September,27-September-2018,Ginger (Thai),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Ginger(China),"20,550.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Cocoyam(اروی),"3,550.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Strawberry,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Plum,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Potato Store,"1,600.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Potato Sugar free,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Potato Fresh,"5,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Mango (Malda),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mango(Anwer Ratol),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mango(Chounsa),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mango(Desahri),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mango Desi,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mango(Sindhri),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mango Saharni,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Guava,"5,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Pomegranate(Badana),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Pomegranate Desi,"13,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Pomegranate(Kandhari),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Grapes (Other),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Grapes Sundekhani,"24,800.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Grapes Gola,"11,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Peach,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Peach Special,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Banola,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Lady Finger/Okra (بھنڈی توری),"7,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Wheat Straw,NA
Yazman    View Graph,September - 2007,September,27-September-2018,jujube(بیر),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Gram Flour (بیسن),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Brinjal,"3,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Spinach,"1,550.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Papaya(پپیتا),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Cauliflower,"8,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Seed Cotton(Phutti),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Onion,"2,550.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Watermelon,"2,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,RapeSeed (Torya),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Persimmon(جاپانی پھل),"8,800.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Jaman,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Rice (IRRI),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Rice Basmati (385),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Rice Basmati Super (Old),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Rice Basmati Super (New),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Sorghum,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Suger Beet(چقندر),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Gram White(Imported),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Gram White(local),NA
Yazman    View Graph,September - 2007,September,27-September-2018,green chickpeas(چھولیا),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Sugar,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Pumpkin,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Melon,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Apricot Yellow,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Apricot White,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Gram Pulse,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mash Pulse(Imported) washed,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mash Pulse(local),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Masoor Pulse(local),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Moong Pulse,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Coriander (دھنیا),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mustard Greens(ساگ سرسوں),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Green Onion,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Red Chilli Whole (Dry),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Apple (Ammre),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Apple Kala Kullu (Madani),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Apple Kala Kullu (Pahari),"14,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Apple (Gatcha),"14,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Apple (Golden),"6,550.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Sweet Potato(شکر قندی),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Turnip,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Capsicum (شملہ مرچ),"8,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,feutral early(100 Pcs) فروٹر,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Gram Black,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Bottle Gourd (کدو),"3,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Bitter Gourd (کریلا),"9,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Dates (Aseel),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Banola Cake,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Cucumber (Kheera),"3,550.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Kinnow (100Pcs),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Carrot,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Carrot China,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Sweet Musk Melon,"10,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Sweet Musk Melon (Shireen),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Grapefruit(100Pcs),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Wheat,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Cabbage,"6,050.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Jaggery (گڑ),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Zucchini (گھیا توری),"3,550.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Loquat,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Garlic (China),"7,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Garlic (Local),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Lemon (Other),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Lemon (China),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Lemon (Desi),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mash,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Orange(100Pcs),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Musambi(100Pcs),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Masoor Whole (Imported),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Masoor Whole(local),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Masoor Pulse (Imported),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Radish,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Paddy (IRRI),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Paddy Basmati,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Moong,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Mongray,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Peas,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Fenugreek(میتھی),NA
Yazman    View Graph,September - 2007,September,27-September-2018,Pear,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Tomato,"8,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Tindian,NA
Yazman    View Graph,September - 2007,September,27-September-2018,Tinda Desi,"7,300.00"
Yazman    View Graph,September - 2007,September,27-September-2018,Green Chilli,"5,050.00"
Yazman    View Graph,September - 2007,September,28-September-2018,Dates(Irani),NA
Yazman    View Graph,September - 2007,September,28-September-2018,Banana(DOZEN),48.00
Yazman    View Graph,September - 2007,September,28-September-2018,Ginger (Thai),NA
Yazman    View Graph,September - 2007,September,28-September-2018,Ginger(China),"20,550.00"
Yazman    View Graph,September - 2007,September,28-September-2018,Cocoyam(اروی),"3,050.00"
Yazman    View Graph,September - 2007,September,28-September-2018,Strawberry,NA
Yazman    View Graph,September - 2007,September,28-September-2018,Plum,NA
Yazman    View Graph,September - 2007,September,28-September-2018,Potato Store,"1,600.00"
Yazman    View Graph,September - 2007,September,28-September-2018,Potato Sugar free,NA
Yazman    View Graph,September - 2007,September,28-September-2018,Potato Fresh,"5,050.00"
Yazman    View Graph,September - 2007,September,28-September-2018,Mango (Malda),NA
