textbox3,Month,Year,Date,CropNameUrdu,textbox2
Khudian    View Graph,November - 2015,November,23-November-2022,Lady Finger/Okra (بھنڈی توری),"4,900.00"
Khudian    View Graph,November - 2015,November,23-November-2022,jujube(بیر),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Gram Flour (بیسن),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Brinjal,"1,800.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Spinach,"2,200.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Papaya(پپیتا),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Mint(پودینہ),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Cauliflower,"2,200.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Onion,"17,350.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Watermelon,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Turmeric Whole(ثابت ہلدی),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Persimmon(جاپانی پھل),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Jaman,NA
Khudian    View Graph,November - 2015,November,23-November-2022,green chickpeas(چھولیا),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Pumpkin,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Melon,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Apricot Yellow,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Apricot White,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Gram Pulse,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Coriander (دھنیا),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Mustard Greens(ساگ سرسوں),"3,200.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Green Onion,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Water chestnut(سنگھاڑا),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Apple (Ammre),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Apple Kala Kullu (Madani),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Apple Kala Kullu (Pahari),"22,400.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Apple (Gatcha),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Apple (Golden),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Sweet Potato(شکر قندی),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Turnip,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Capsicum (شملہ مرچ),"7,900.00"
Khudian    View Graph,November - 2015,November,23-November-2022,feutral early(100 Pcs) فروٹر,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Gram Black,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Bottle Gourd (کدو),"1,800.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Bitter Gourd (کریلا),"4,400.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Dates (Aseel),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Cucumber (Kheera),"6,400.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Kinnow (100Pcs),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Carrot,"3,550.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Carrot China,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Sweet Musk Melon,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Sweet Musk Melon (Shireen),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Grapefruit(100Pcs),NA
Khudian    View Graph,November - 2015,November,23-November-2022,sugarcane,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Cabbage,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Zucchini (گھیا توری),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Garlic (China),"26,500.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Garlic (Local),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Lychee,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Lemon (Other),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Lemon (China),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Lemon (Desi),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Orange(100Pcs),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Musambi(100Pcs),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Radish,"1,800.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Mongray,"7,400.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Peas,"11,450.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Fenugreek(میتھی),"1,900.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Cocunut,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Pear,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Tomato,"18,850.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Tindian,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Tinda Desi,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Green Chilli,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Dates(Irani),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Banana(DOZEN),135.00
Khudian    View Graph,November - 2015,November,24-November-2022,Ginger (Thai),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Ginger(China),"32,400.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Cocoyam(اروی),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Strawberry,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Plum,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Potato Store,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Potato Sugar free,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Potato Fresh,"6,350.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Mango (Malda),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Mango(Anwer Ratol),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Mango(Chounsa),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Mango(Desahri),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Mango Desi,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Mango(Sindhri),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Mango Saharni,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Guava,"6,800.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Pomegranate(Badana),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Pomegranate Desi,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Pomegranate(Kandhari),"20,800.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Grapes (Other),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Grapes Sundekhani,"35,000.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Grapes Gola,"25,000.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Peach,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Peach Special,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Lady Finger/Okra (بھنڈی توری),"6,500.00"
Khudian    View Graph,November - 2015,November,24-November-2022,jujube(بیر),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Gram Flour (بیسن),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Brinjal,"1,800.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Spinach,"2,200.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Papaya(پپیتا),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Mint(پودینہ),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Cauliflower,"2,650.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Onion,"16,000.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Watermelon,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Turmeric Whole(ثابت ہلدی),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Persimmon(جاپانی پھل),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Jaman,NA
Khudian    View Graph,November - 2015,November,24-November-2022,green chickpeas(چھولیا),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Pumpkin,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Melon,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Apricot Yellow,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Apricot White,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Gram Pulse,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Coriander (دھنیا),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Mustard Greens(ساگ سرسوں),"2,900.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Green Onion,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Water chestnut(سنگھاڑا),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Apple (Ammre),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Apple Kala Kullu (Madani),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Apple Kala Kullu (Pahari),"22,450.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Apple (Gatcha),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Apple (Golden),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Sweet Potato(شکر قندی),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Turnip,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Capsicum (شملہ مرچ),"6,500.00"
Khudian    View Graph,November - 2015,November,24-November-2022,feutral early(100 Pcs) فروٹر,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Gram Black,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Bottle Gourd (کدو),"2,200.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Bitter Gourd (کریلا),"4,800.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Dates (Aseel),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Cucumber (Kheera),"5,250.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Kinnow (100Pcs),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Carrot,"3,600.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Carrot China,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Sweet Musk Melon,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Sweet Musk Melon (Shireen),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Grapefruit(100Pcs),NA
Khudian    View Graph,November - 2015,November,24-November-2022,sugarcane,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Cabbage,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Zucchini (گھیا توری),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Garlic (China),"26,500.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Garlic (Local),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Lychee,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Lemon (Other),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Lemon (China),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Lemon (Desi),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Orange(100Pcs),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Musambi(100Pcs),NA
Khudian    View Graph,November - 2015,November,24-November-2022,Radish,"1,600.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Mongray,"8,150.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Peas,"14,000.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Fenugreek(میتھی),"2,650.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Cocunut,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Pear,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Tomato,"17,500.00"
Khudian    View Graph,November - 2015,November,24-November-2022,Tindian,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Tinda Desi,NA
Khudian    View Graph,November - 2015,November,24-November-2022,Green Chilli,NA
Khudian    View Graph,November - 2015,November,1-November-2023,Dates(Irani),NA
Khudian    View Graph,November - 2015,November,1-November-2023,Banana(DOZEN),"9,750.00"
Khudian    View Graph,November - 2015,November,1-November-2023,Ginger (Thai),"56,500.00"
Khudian    View Graph,November - 2015,November,1-November-2023,Ginger(China),"57,500.00"
Khudian    View Graph,November - 2015,November,1-November-2023,Cocoyam(اروی),"10,250.00"
Khudian    View Graph,November - 2015,November,1-November-2023,Strawberry,NA
Khudian    View Graph,November - 2015,November,1-November-2023,Plum,NA
Khudian    View Graph,November - 2015,November,1-November-2023,Potato Store,"7,250.00"
Khudian    View Graph,November - 2015,November,1-November-2023,Potato Sugar free,"6,750.00"
Khudian    View Graph,November - 2015,November,1-November-2023,Potato Fresh,"8,250.00"
Khudian    View Graph,November - 2015,November,1-November-2023,Mango (Malda),NA
Khudian    View Graph,November - 2015,November,1-November-2023,Mango(Anwer Ratol),NA
Khudian    View Graph,November - 2015,November,1-November-2023,Mango(Chounsa),NA
Khudian    View Graph,November - 2015,November,1-November-2023,Mango(Desahri),NA
Khudian    View Graph,November - 2015,November,1-November-2023,Mango Desi,NA
